Ethiopia,123379928,500774,0.405879633841252
Uganda,47249588,170539,0.360932247705525
Cote d'Ivoire,28160548,88316,0.313616056051182
Low income,737604900,2294054,0.311013931713306
Angola,35588996,105353,0.296026895504442
Haiti,11585003,34214,0.29533009184374
Guinea,13859349,38430,0.27728575130044
Eritrea,3684041,10189,0.276571297659282
Central African Republic,5579148,15367,0.275436321101358
Tokelau,1893,5,0.264131008980454
Syria,22125242,57423,0.259536144282625
Madagascar,29611718,68177,0.230236557027863
Nicaragua,6948395,15688,0.225778758979592
Benin,13352864,28014,0.209797688346111
Tajikistan,9952789,17786,0.178703677933894
South Sudan,10913172,18368,0.168310368424506
Somalia,17597508,27334,0.155328811329422
Liberia,5302690,8090,0.152564075968989
Mali,22593598,33134,0.146652162262956
Sudan,46874200,63993,0.136520729953791
Nigeria,218541216,266675,0.122025037144481
Burkina Faso,22673764,22056,0.0972754237011552
Democratic Republic of Congo,99010216,95944,0.0969031316929962
Sierra Leone,8605723,7762,0.09019579180041
Tanzania,65497752,42973,0.0656098853591189
Chad,17723312,7696,0.0434230351527976
Niger,26207982,9513,0.0362981018530919
Yemen,33696612,11945,0.0354486676583391
England,56550000,NULL,NULL
Northern Cyprus,382836,NULL,NULL
Wales,3170000,NULL,NULL
Turkmenistan,6430777,NULL,NULL
Northern Ireland,1896000,NULL,NULL
Macao,695180,NULL,NULL
Hong Kong,7488863,NULL,NULL
Western Sahara,576005,NULL,NULL
North Korea,26069416,NULL,NULL
Taiwan,23893396,NULL,NULL
Scotland,5466000,NULL,NULL
